ID,email,password,first_name,last_name,role,department,
jsm123,john@gmail.com,john,John,Smith,Employee,Marketing
rsm463,rob@outlook.com,rob,Rob,Stirling,Manager,Marketing
jsa223,jane@gmail.com,jane,Jane,Smith,Auditor,Finance
aja142,alex@gmail.com,alex,Alex,Jones,Admin,IT
cfe556,chris@outlook.com,chris,Chris,Foo,Employee,IT
jme198,jocelyn@gmail.com,jocelyn,Jocely,Macauley,Employee,IT
zmm156,zachary@outlook.com,zachary,Zachary,Michael,Manager,IT
lce185,lydia@outlook.com,lydia,Lydia,Camilla,Employee,Marketing
mle180,matthew@gmail.com,matthew,Matthew,Lowry,Employee,HR
ree980,ronnie@outlook.com,ronnie,Ronnie,Eastwood,Employee,HR
cma234,caris@gmail.com,caris,Caris,Mendoza,Auditor,Finance
mla459,morgana@outlook.com,morgana,Morgana,Lee,Auditor,Finance
ate313,ann@gmail.com,ann,Ann,Takamaki,Employee,HR
cem978,clint@outlook.com,clint,Clint,Eastwood,Manager,HR
hje125,hannah@outlook.com,hannah,Hannah,James,Employee,IT
srp543,sarah@gmail.com,sarah,Sarah,Parker,Employee,Marketing
jhm512,jillian@outlook.com,jillian,Jillian,Harris,Manager,Operations
ang908,andrew@gmail.com,andrew,Andrew,Garcia,Employee,Operations
hwe665,helena@yahoo.com,helena,Helena,Wu,Employee,Operations
pja818,peter@gmail.com,peter,Peter,Jones,Admin,IT



